Designator,Mid X,Mid Y,Layer,Rotation
C1,94.5mm,115.709999mm,Top,90.0
D1,94.5mm,120.85mm,Top,270.0
D2,99.35mm,121.5mm,Top,0.0
F12,15.0mm,127.405mm,Top,270.0
F32,86.0mm,127.405mm,Top,270.0
G8,134.46mm,97.42mm,Top,90.0
G9,144.46mm,97.42mm,Top,90.0
G10,134.46mm,82.42mm,Top,90.0
G11,144.46mm,82.42mm,Top,90.0
J1,136.0mm,36.5mm,Top,90.0
J2,15.0mm,84.5mm,Top,0.0
J3,136.085mm,53.5mm,Top,90.0
P1,126.038641mm,138.079121mm,Top,0.0
P2,18.0mm,117.5mm,Top,0.0
P3,20.0mm,19.5mm,Top,0.0
P4,20.0mm,24.5mm,Top,0.0
P5,27.75mm,117.5mm,Top,0.0
P6,31.0mm,117.5mm,Top,0.0
P7,20.0mm,14.5mm,Top,0.0
P8,37.0mm,117.5mm,Top,0.0
P9,20.0mm,9.5mm,Top,0.0
P10,44.0mm,117.5mm,Top,0.0
P11,48.25mm,117.5mm,Top,0.0
P12,14.0mm,117.5mm,Top,0.0
P19,37.0mm,125.25mm,Top,0.0
P21,44.0mm,125.25mm,Top,0.0
P55,109.0mm,125.25mm,Top,0.0
P56,113.0mm,125.25mm,Top,0.0
P60,125.25mm,125.25mm,Top,0.0
P63,140.5mm,117.0mm,Top,0.0
P_C11,21.25mm,96.75mm,Top,0.0
P_C12,16.25mm,96.75mm,Top,0.0
P_C13,11.25mm,96.75mm,Top,0.0
P_D5,109.0mm,117.5mm,Top,0.0
Q1,83.0mm,119.5mm,Top,0.0
R1,90.5mm,121.5mm,Top,270.0
R3,21.75mm,119.405mm,Top,90.0
R4,24.75mm,119.405mm,Top,90.0
R7,33.75mm,119.405mm,Top,90.0
R9,40.25mm,119.405mm,Top,90.0
R13,18.5mm,127.5mm,Top,90.0
R14,21.75mm,127.5mm,Top,90.0
R15,24.75mm,127.5mm,Top,90.0
R16,27.75mm,127.5mm,Top,90.0
R17,30.75mm,127.5mm,Top,90.0
R18,33.75mm,127.5mm,Top,90.0
R20,40.25mm,127.5mm,Top,90.0
R22,48.25mm,127.5mm,Top,90.0
R25,97.5mm,115.5mm,Top,270.0
R43,113.0mm,119.405mm,Top,90.0
R45,119.0mm,119.405mm,Top,90.0
R46,125.25mm,119.405mm,Top,90.0
R46_61,122.0mm,127.5mm,Top,90.0
R48,128.5mm,119.405mm,Top,90.0
R49_51,135.5mm,118.5mm,Top,90.0
R51,144.0mm,118.5mm,Top,90.0
R54,104.5mm,127.5mm,Top,90.0
R57,116.0mm,127.5mm,Top,90.0
R58,119.0mm,127.5mm,Top,90.0
R61,128.5mm,127.5mm,Top,90.0
R62_64,135.5mm,127.5mm,Top,90.0
R64,144.0mm,127.5mm,Top,90.0
R68,59.25mm,119.405mm,Top,90.0
R69,66.75mm,119.405mm,Top,90.0
R74,59.25mm,127.5mm,Top,90.0
R75,66.75mm,127.5mm,Top,90.0
J801,110.525126mm,11.112563mm,Top,90.0
J802,30.525126mm,19.612563mm,Top,0.0
J803,38.300126mm,45.702563000000005mm,Top,0.0
J804,88.675126mm,97.33756299999999mm,Top,0.0
J805,97.075126mm,97.33756299999999mm,Top,0.0
J806,38.300126mm,86.10256299999999mm,Top,0.0
J807,38.975126mm,97.33756299999999mm,Top,0.0
J808,47.375126mm,97.33756299999999mm,Top,0.0
