Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,94.500000mm,115.709999mm,Top,90.0,94.500000mm,115.709999mm
D1,94.500000mm,120.850000mm,Top,-90.0,94.500000mm,120.850000mm
D2,99.350000mm,121.500000mm,Top,0.0,99.350000mm,121.500000mm
F12,15.000000mm,127.405000mm,Top,-90.0,15.000000mm,127.405000mm
F32,86.000000mm,127.405000mm,Top,-90.0,86.000000mm,127.405000mm
G8,134.460000mm,97.420000mm,Top,90.0,134.460000mm,97.420000mm
G9,144.460000mm,97.420000mm,Top,90.0,144.460000mm,97.420000mm
G10,134.460000mm,82.420000mm,Top,90.0,134.460000mm,82.420000mm
G11,144.460000mm,82.420000mm,Top,90.0,144.460000mm,82.420000mm
J1,136.000000mm,36.500000mm,Top,90.0,136.000000mm,36.500000mm
J2,15.000000mm,84.500000mm,Top,0.0,15.000000mm,84.500000mm
J3,136.085000mm,53.500000mm,Top,90.0,136.085000mm,53.500000mm
M1,27.500000mm,8.112563mm,Top,0.0,27.500000mm,8.112563mm
P1,126.038641mm,138.079121mm,Top,0.0,126.038641mm,138.079121mm
P2,18.000000mm,117.500000mm,Top,0.0,18.000000mm,117.500000mm
P3,20.000000mm,19.500000mm,Top,0.0,20.000000mm,19.500000mm
P4,20.000000mm,24.500000mm,Top,0.0,20.000000mm,24.500000mm
P5,27.750000mm,117.500000mm,Top,0.0,27.750000mm,117.500000mm
P6,31.000000mm,117.500000mm,Top,0.0,31.000000mm,117.500000mm
P7,20.000000mm,14.500000mm,Top,0.0,20.000000mm,14.500000mm
P8,37.000000mm,117.500000mm,Top,0.0,37.000000mm,117.500000mm
P9,20.000000mm,9.500000mm,Top,0.0,20.000000mm,9.500000mm
P10,44.000000mm,117.500000mm,Top,0.0,44.000000mm,117.500000mm
P11,48.250000mm,117.500000mm,Top,0.0,48.250000mm,117.500000mm
P12,14.000000mm,117.500000mm,Top,0.0,14.000000mm,117.500000mm
P19,37.000000mm,125.250000mm,Top,0.0,37.000000mm,125.250000mm
P21,44.000000mm,125.250000mm,Top,0.0,44.000000mm,125.250000mm
P55,109.000000mm,125.250000mm,Top,0.0,109.000000mm,125.250000mm
P56,113.000000mm,125.250000mm,Top,0.0,113.000000mm,125.250000mm
P60,125.250000mm,125.250000mm,Top,0.0,125.250000mm,125.250000mm
P63,140.500000mm,117.000000mm,Top,0.0,140.500000mm,117.000000mm
P_C11,21.250000mm,96.750000mm,Top,0.0,21.250000mm,96.750000mm
P_C12,16.250000mm,96.750000mm,Top,0.0,16.250000mm,96.750000mm
P_C13,11.250000mm,96.750000mm,Top,0.0,11.250000mm,96.750000mm
P_D5,109.000000mm,117.500000mm,Top,0.0,109.000000mm,117.500000mm
Q1,83.000000mm,119.500000mm,Top,0.0,83.000000mm,119.500000mm
R1,90.500000mm,121.500000mm,Top,-90.0,90.500000mm,121.500000mm
R3,21.750000mm,119.405000mm,Top,90.0,21.750000mm,119.405000mm
R4,24.750000mm,119.405000mm,Top,90.0,24.750000mm,119.405000mm
R7,33.750000mm,119.405000mm,Top,90.0,33.750000mm,119.405000mm
R9,40.250000mm,119.405000mm,Top,90.0,40.250000mm,119.405000mm
R13,18.500000mm,127.500000mm,Top,90.0,18.500000mm,127.500000mm
R14,21.750000mm,127.500000mm,Top,90.0,21.750000mm,127.500000mm
R15,24.750000mm,127.500000mm,Top,90.0,24.750000mm,127.500000mm
R16,27.750000mm,127.500000mm,Top,90.0,27.750000mm,127.500000mm
R17,30.750000mm,127.500000mm,Top,90.0,30.750000mm,127.500000mm
R18,33.750000mm,127.500000mm,Top,90.0,33.750000mm,127.500000mm
R20,40.250000mm,127.500000mm,Top,90.0,40.250000mm,127.500000mm
R22,48.250000mm,127.500000mm,Top,90.0,48.250000mm,127.500000mm
R25,97.500000mm,115.500000mm,Top,-90.0,97.500000mm,115.500000mm
R43,113.000000mm,119.405000mm,Top,90.0,113.000000mm,119.405000mm
R45,119.000000mm,119.405000mm,Top,90.0,119.000000mm,119.405000mm
R46,125.250000mm,119.405000mm,Top,90.0,125.250000mm,119.405000mm
R46_61,122.000000mm,127.500000mm,Top,90.0,122.000000mm,127.500000mm
R48,128.500000mm,119.405000mm,Top,90.0,128.500000mm,119.405000mm
R49_51,135.500000mm,118.500000mm,Top,90.0,135.500000mm,118.500000mm
R51,144.000000mm,118.500000mm,Top,90.0,144.000000mm,118.500000mm
R54,104.500000mm,127.500000mm,Top,90.0,104.500000mm,127.500000mm
R57,116.000000mm,127.500000mm,Top,90.0,116.000000mm,127.500000mm
R58,119.000000mm,127.500000mm,Top,90.0,119.000000mm,127.500000mm
R61,128.500000mm,127.500000mm,Top,90.0,128.500000mm,127.500000mm
R62_64,135.500000mm,127.500000mm,Top,90.0,135.500000mm,127.500000mm
R64,144.000000mm,127.500000mm,Top,90.0,144.000000mm,127.500000mm
R68,59.250000mm,119.405000mm,Top,90.0,59.250000mm,119.405000mm
R69,66.750000mm,119.405000mm,Top,90.0,66.750000mm,119.405000mm
R74,59.250000mm,127.500000mm,Top,90.0,59.250000mm,127.500000mm
R75,66.750000mm,127.500000mm,Top,90.0,66.750000mm,127.500000mm
