Designator,Mid X,Mid Y,Layer,Rotation
C1,93.999999mm,115.209998mm,Top,90.0
D1,93.999999mm,120.349999mm,Top,270.0
D2,98.849999mm,120.999999mm,Top,0.0
F12,14.499999mm,126.904999mm,Top,270.0
F32,85.499999mm,126.904999mm,Top,270.0
G8,133.959999mm,96.919999mm,Top,90.0
G9,143.959999mm,96.919999mm,Top,90.0
G10,133.959999mm,81.919999mm,Top,90.0
G11,143.959999mm,81.919999mm,Top,90.0
J1,135.499999mm,35.999999mm,Top,90.0
J2,14.499999mm,83.999999mm,Top,0.0
J3,135.584999mm,52.999999mm,Top,90.0
P1,125.53864mm,137.57912mm,Top,0.0
P2,17.499999mm,116.999999mm,Top,0.0
P3,19.499999mm,18.999999mm,Top,0.0
P4,19.499999mm,23.999999mm,Top,0.0
P5,27.249999mm,116.999999mm,Top,0.0
P6,30.499999mm,116.999999mm,Top,0.0
P7,19.499999mm,13.999999mm,Top,0.0
P8,36.499999mm,116.999999mm,Top,0.0
P9,19.499999mm,8.999999mm,Top,0.0
P10,43.499999mm,116.999999mm,Top,0.0
P11,47.749999mm,116.999999mm,Top,0.0
P12,13.499999mm,116.999999mm,Top,0.0
P19,36.499999mm,124.749999mm,Top,0.0
P21,43.499999mm,124.749999mm,Top,0.0
P55,108.499999mm,124.749999mm,Top,0.0
P56,112.499999mm,124.749999mm,Top,0.0
P60,124.749999mm,124.749999mm,Top,0.0
P63,139.999999mm,116.499999mm,Top,0.0
P_C11,20.749999mm,96.249999mm,Top,0.0
P_C12,15.749999mm,96.249999mm,Top,0.0
P_C13,10.749999mm,96.249999mm,Top,0.0
P_D5,108.499999mm,116.999999mm,Top,0.0
Q1,82.499999mm,118.999999mm,Top,0.0
R1,89.999999mm,120.999999mm,Top,270.0
R3,21.249999mm,118.904999mm,Top,90.0
R4,24.249999mm,118.904999mm,Top,90.0
R7,33.249999mm,118.904999mm,Top,90.0
R9,39.749999mm,118.904999mm,Top,90.0
R13,17.999999mm,126.999999mm,Top,90.0
R14,21.249999mm,126.999999mm,Top,90.0
R15,24.249999mm,126.999999mm,Top,90.0
R16,27.249999mm,126.999999mm,Top,90.0
R17,30.249999mm,126.999999mm,Top,90.0
R18,33.249999mm,126.999999mm,Top,90.0
R20,39.749999mm,126.999999mm,Top,90.0
R22,47.749999mm,126.999999mm,Top,90.0
R25,96.999999mm,114.999999mm,Top,270.0
R43,112.499999mm,118.904999mm,Top,90.0
R45,118.499999mm,118.904999mm,Top,90.0
R46,124.749999mm,118.904999mm,Top,90.0
R46_61,121.499999mm,126.999999mm,Top,90.0
R48,127.999999mm,118.904999mm,Top,90.0
R49_51,134.999999mm,117.999999mm,Top,90.0
R51,143.499999mm,117.999999mm,Top,90.0
R54,103.999999mm,126.999999mm,Top,90.0
R57,115.499999mm,126.999999mm,Top,90.0
R58,118.499999mm,126.999999mm,Top,90.0
R61,127.999999mm,126.999999mm,Top,90.0
R62_64,134.999999mm,126.999999mm,Top,90.0
R64,143.499999mm,126.999999mm,Top,90.0
R68,58.749999mm,118.904999mm,Top,90.0
R69,66.249999mm,118.904999mm,Top,90.0
R74,58.749999mm,126.999999mm,Top,90.0
R75,66.249999mm,126.999999mm,Top,90.0
J801,110.025125mm,10.612562mm,Top,90.0
J802,30.025125mm,19.112562mm,Top,0.0
J803,37.800125mm,45.202562mm,Top,0.0
J804,88.175125mm,96.83756199999999mm,Top,0.0
J805,96.575125mm,96.83756199999999mm,Top,0.0
J806,37.800125mm,85.60256199999999mm,Top,0.0
J807,38.475125mm,96.83756199999999mm,Top,0.0
J808,46.875125mm,96.83756199999999mm,Top,0.0
J809,37.800125mm,77.202562mm,Top,0.0
J810,104.975125mm,96.83756199999999mm,Top,0.0
J811,55.275125mm,96.83756199999999mm,Top,0.0
J812,113.750125mm,86.002562mm,Top,0.0
J813,37.800125mm,68.802562mm,Top,0.0
J814,113.375125mm,96.83756199999999mm,Top,0.0
J815,63.675124999999994mm,96.83756199999999mm,Top,0.0
J816,37.800125mm,60.402561999999996mm,Top,0.0
P801,110.225125mm,31.612562mm,Top,0.0
P802,110.225125mm,26.912562mm,Top,0.0
P803,89.525125mm,10.112562mm,Top,0.0
P804,89.525125mm,15.112562mm,Top,0.0
P805,50.025125mm,18.612562mm,Top,0.0
P806,36.300125mm,33.412562mm,Top,0.0
P807,36.300125mm,37.612562mm,Top,0.0
P808,36.300125mm,41.812562mm,Top,0.0
P809,36.300125mm,46.012561999999996mm,Top,0.0
P810,41.800125mm,33.412562mm,Top,0.0
P811,41.800125mm,37.612562mm,Top,0.0
P812,41.800125mm,41.812562mm,Top,0.0
P813,41.800125mm,46.012561999999996mm,Top,0.0
