Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,93.999999mm,115.209998mm,Top,90.0,93.999999mm,115.209998mm
D1,93.999999mm,120.349999mm,Top,-90.0,93.999999mm,120.349999mm
D2,98.849999mm,120.999999mm,Top,0.0,98.849999mm,120.999999mm
F12,14.499999mm,126.904999mm,Top,-90.0,14.499999mm,126.904999mm
F32,85.499999mm,126.904999mm,Top,-90.0,85.499999mm,126.904999mm
G8,133.959999mm,96.919999mm,Top,90.0,133.959999mm,96.919999mm
G9,143.959999mm,96.919999mm,Top,90.0,143.959999mm,96.919999mm
G10,133.959999mm,81.919999mm,Top,90.0,133.959999mm,81.919999mm
G11,143.959999mm,81.919999mm,Top,90.0,143.959999mm,81.919999mm
J1,135.499999mm,35.999999mm,Top,90.0,135.499999mm,35.999999mm
J2,14.499999mm,83.999999mm,Top,0.0,14.499999mm,83.999999mm
J3,135.584999mm,52.999999mm,Top,90.0,135.584999mm,52.999999mm
M1,26.999999mm,7.612562mm,Top,0.0,26.999999mm,7.612562mm
P1,125.538640mm,137.579120mm,Top,0.0,125.538640mm,137.579120mm
P2,17.499999mm,116.999999mm,Top,0.0,17.499999mm,116.999999mm
P3,19.499999mm,18.999999mm,Top,0.0,19.499999mm,18.999999mm
P4,19.499999mm,23.999999mm,Top,0.0,19.499999mm,23.999999mm
P5,27.249999mm,116.999999mm,Top,0.0,27.249999mm,116.999999mm
P6,30.499999mm,116.999999mm,Top,0.0,30.499999mm,116.999999mm
P7,19.499999mm,13.999999mm,Top,0.0,19.499999mm,13.999999mm
P8,36.499999mm,116.999999mm,Top,0.0,36.499999mm,116.999999mm
P9,19.499999mm,8.999999mm,Top,0.0,19.499999mm,8.999999mm
P10,43.499999mm,116.999999mm,Top,0.0,43.499999mm,116.999999mm
P11,47.749999mm,116.999999mm,Top,0.0,47.749999mm,116.999999mm
P12,13.499999mm,116.999999mm,Top,0.0,13.499999mm,116.999999mm
P19,36.499999mm,124.749999mm,Top,0.0,36.499999mm,124.749999mm
P21,43.499999mm,124.749999mm,Top,0.0,43.499999mm,124.749999mm
P55,108.499999mm,124.749999mm,Top,0.0,108.499999mm,124.749999mm
P56,112.499999mm,124.749999mm,Top,0.0,112.499999mm,124.749999mm
P60,124.749999mm,124.749999mm,Top,0.0,124.749999mm,124.749999mm
P63,139.999999mm,116.499999mm,Top,0.0,139.999999mm,116.499999mm
P_C11,20.749999mm,96.249999mm,Top,0.0,20.749999mm,96.249999mm
P_C12,15.749999mm,96.249999mm,Top,0.0,15.749999mm,96.249999mm
P_C13,10.749999mm,96.249999mm,Top,0.0,10.749999mm,96.249999mm
P_D5,108.499999mm,116.999999mm,Top,0.0,108.499999mm,116.999999mm
Q1,82.499999mm,118.999999mm,Top,0.0,82.499999mm,118.999999mm
R1,89.999999mm,120.999999mm,Top,-90.0,89.999999mm,120.999999mm
R3,21.249999mm,118.904999mm,Top,90.0,21.249999mm,118.904999mm
R4,24.249999mm,118.904999mm,Top,90.0,24.249999mm,118.904999mm
R7,33.249999mm,118.904999mm,Top,90.0,33.249999mm,118.904999mm
R9,39.749999mm,118.904999mm,Top,90.0,39.749999mm,118.904999mm
R13,17.999999mm,126.999999mm,Top,90.0,17.999999mm,126.999999mm
R14,21.249999mm,126.999999mm,Top,90.0,21.249999mm,126.999999mm
R15,24.249999mm,126.999999mm,Top,90.0,24.249999mm,126.999999mm
R16,27.249999mm,126.999999mm,Top,90.0,27.249999mm,126.999999mm
R17,30.249999mm,126.999999mm,Top,90.0,30.249999mm,126.999999mm
R18,33.249999mm,126.999999mm,Top,90.0,33.249999mm,126.999999mm
R20,39.749999mm,126.999999mm,Top,90.0,39.749999mm,126.999999mm
R22,47.749999mm,126.999999mm,Top,90.0,47.749999mm,126.999999mm
R25,96.999999mm,114.999999mm,Top,-90.0,96.999999mm,114.999999mm
R43,112.499999mm,118.904999mm,Top,90.0,112.499999mm,118.904999mm
R45,118.499999mm,118.904999mm,Top,90.0,118.499999mm,118.904999mm
R46,124.749999mm,118.904999mm,Top,90.0,124.749999mm,118.904999mm
R46_61,121.499999mm,126.999999mm,Top,90.0,121.499999mm,126.999999mm
R48,127.999999mm,118.904999mm,Top,90.0,127.999999mm,118.904999mm
R49_51,134.999999mm,117.999999mm,Top,90.0,134.999999mm,117.999999mm
R51,143.499999mm,117.999999mm,Top,90.0,143.499999mm,117.999999mm
R54,103.999999mm,126.999999mm,Top,90.0,103.999999mm,126.999999mm
R57,115.499999mm,126.999999mm,Top,90.0,115.499999mm,126.999999mm
R58,118.499999mm,126.999999mm,Top,90.0,118.499999mm,126.999999mm
R61,127.999999mm,126.999999mm,Top,90.0,127.999999mm,126.999999mm
R62_64,134.999999mm,126.999999mm,Top,90.0,134.999999mm,126.999999mm
R64,143.499999mm,126.999999mm,Top,90.0,143.499999mm,126.999999mm
R68,58.749999mm,118.904999mm,Top,90.0,58.749999mm,118.904999mm
R69,66.249999mm,118.904999mm,Top,90.0,66.249999mm,118.904999mm
R74,58.749999mm,126.999999mm,Top,90.0,58.749999mm,126.999999mm
R75,66.249999mm,126.999999mm,Top,90.0,66.249999mm,126.999999mm
