Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C0603",93.999999,115.209998,90.000000,top
"D1","B5819W","SOD-123",93.999999,120.349999,-90.000000,top
"D2","PSM712-LF","SOT-23",98.849999,120.999999,180.000000,top
"F12","Fuse-Pad-Pad","PAD-1206-PAD",14.499999,126.904999,-90.000000,top
"F32","Fuse-Pad-Pad","PAD-1206-PAD",85.499999,126.904999,-90.000000,top
"G8","PROTO_AREA","PROTO_AREA",133.959999,96.919999,90.000000,top
"G9","PROTO_AREA","PROTO_AREA",143.959999,96.919999,90.000000,top
"G10","PROTO_AREA","PROTO_AREA",133.959999,81.919999,90.000000,top
"G11","PROTO_AREA","PROTO_AREA",143.959999,81.919999,90.000000,top
"J1","43045-0612","Molex_Micro-Fit_3.0_43045-0612_2x03_P3.00mm_Vertical",135.499999,35.999999,90.000000,top
"J2","43045-0412","Molex_Micro-Fit_3.0_43045-0412_2x02_P3.00mm_Vertical",14.499999,83.999999,0.000000,top
"J3","43045-0212","Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical",135.584999,52.999999,90.000000,top
"M1","Module:uaefi/0.2","uaefi",26.999999,7.612562,0.000000,top
"P1","178780-1","178780-1",125.538640,137.579120,0.000000,top
"P2","Pad","PAD-TH",17.499999,116.999999,0.000000,top
"P3","Pad","PAD-TH",19.499999,18.999999,0.000000,top
"P4","Pad","PAD-TH",19.499999,23.999999,0.000000,top
"P5","Pad","PAD-TH",27.249999,116.999999,0.000000,top
"P6","Pad","PAD-TH",30.499999,116.999999,0.000000,top
"P7","Pad","PAD-TH",19.499999,13.999999,0.000000,top
"P8","Pad","PAD-TH",36.499999,116.999999,0.000000,top
"P9","Pad","PAD-TH",19.499999,8.999999,0.000000,top
"P10","Pad","PAD-TH",43.499999,116.999999,0.000000,top
"P11","Pad","PAD-TH",47.749999,116.999999,0.000000,top
"P12","Pad","PAD-TH",13.499999,116.999999,0.000000,top
"P19","Pad","PAD-TH",36.499999,124.749999,0.000000,top
"P21","Pad","PAD-TH",43.499999,124.749999,0.000000,top
"P55","Pad","PAD-TH",108.499999,124.749999,0.000000,top
"P56","Pad","PAD-TH",112.499999,124.749999,0.000000,top
"P60","Pad","PAD-TH",124.749999,124.749999,0.000000,top
"P63","Pad","PAD-TH",139.999999,116.499999,0.000000,top
"P_C11","Pad","PAD-TH",20.749999,96.249999,0.000000,top
"P_C12","Pad","PAD-TH",15.749999,96.249999,0.000000,top
"P_C13","Pad","PAD-TH",10.749999,96.249999,0.000000,top
"P_D5","Pad","PAD-TH",108.499999,116.999999,0.000000,top
"Q1","ZXMS6005SGTA","SOT-223",82.499999,118.999999,180.000000,top
"R1","750","R0805",89.999999,120.999999,-90.000000,top
"R3","Jumper-Pad-Pad","PAD-0805-PAD",21.249999,118.904999,90.000000,top
"R4","Jumper-Pad-Pad","PAD-0805-PAD",24.249999,118.904999,90.000000,top
"R7","Jumper-Pad-Pad","PAD-0805-PAD",33.249999,118.904999,90.000000,top
"R9","Jumper-Pad-Pad","PAD-0805-PAD",39.749999,118.904999,90.000000,top
"R13","Jumper-Pad-Pad","PAD-0805-PAD",17.999999,126.999999,90.000000,top
"R14","Jumper-Pad-Pad","PAD-0805-PAD",21.249999,126.999999,90.000000,top
"R15","Jumper-Pad-Pad","PAD-0805-PAD",24.249999,126.999999,90.000000,top
"R16","Jumper-Pad-Pad","PAD-0805-PAD",27.249999,126.999999,90.000000,top
"R17","Jumper-Pad-Pad","PAD-0805-PAD",30.249999,126.999999,90.000000,top
"R18","Jumper-Pad-Pad","PAD-0805-PAD",33.249999,126.999999,90.000000,top
"R20","Jumper-Pad-Pad","PAD-0805-PAD",39.749999,126.999999,90.000000,top
"R22","Jumper-Pad-Pad","PAD-0805-PAD",47.749999,126.999999,90.000000,top
"R25","220","R0805",96.999999,114.999999,-90.000000,top
"R43","Jumper-Pad-Pad","PAD-0805-PAD",112.499999,118.904999,90.000000,top
"R45","Jumper-Pad-Pad","PAD-0805-PAD",118.499999,118.904999,90.000000,top
"R46","Jumper-Pad-Pad","PAD-0805-PAD",124.749999,118.904999,90.000000,top
"R46_61","Jumper-Pad-Pad","PAD-0805-PAD",121.499999,126.999999,90.000000,top
"R48","Jumper-Pad-Pad","PAD-0805-PAD",127.999999,118.904999,90.000000,top
"R49_51","Jumper-Pad-Pad","PAD-0805-PAD",134.999999,117.999999,90.000000,top
"R51","Jumper-Pad-Pad","PAD-0805-PAD",143.499999,117.999999,90.000000,top
"R54","Jumper-Pad-Pad","PAD-0805-PAD",103.999999,126.999999,90.000000,top
"R57","Jumper-Pad-Pad","PAD-0805-PAD",115.499999,126.999999,90.000000,top
"R58","Jumper-Pad-Pad","PAD-0805-PAD",118.499999,126.999999,90.000000,top
"R61","Jumper-Pad-Pad","PAD-0805-PAD",127.999999,126.999999,90.000000,top
"R62_64","Jumper-Pad-Pad","PAD-0805-PAD",134.999999,126.999999,90.000000,top
"R64","Jumper-Pad-Pad","PAD-0805-PAD",143.499999,126.999999,90.000000,top
"R68","Jumper-Pad-Pad","PAD-0805-PAD",58.749999,118.904999,90.000000,top
"R69","Jumper-Pad-Pad","PAD-0805-PAD",66.249999,118.904999,90.000000,top
"R74","Jumper-Pad-Pad","PAD-0805-PAD",58.749999,126.999999,90.000000,top
"R75","Jumper-Pad-Pad","PAD-0805-PAD",66.249999,126.999999,90.000000,top
